#{"t_start": 1749460870.6456552, "env_id": "None"}
r,l,t
100.5,74,55.299445
88.0,79,55.341005
508.5,277,55.486462
241.0,167,55.574017
-14.5,14,55.581534
87.0,48,55.611088
328.5,182,55.730868
106.5,75,55.774748
-10.5,18,55.788349
157.0,73,55.828199
457.5,301,55.994143
303.0,164,56.082112
101.0,72,56.119471
350.5,214,56.235929
345.5,209,57.443421
102.5,91,57.504998
224.0,120,57.57972
32.5,46,57.604486
265.5,149,57.68611
166.0,92,57.737252
329.5,168,57.845074
189.5,118,57.9247
312.5,146,58.008547
351.0,187,58.148759
26.5,35,58.17581
15.0,26,58.19892
112.5,76,58.24494
302.0,153,58.340254
335.5,194,58.454252
347.5,186,58.622273
135.0,76,58.838394
5.0,36,58.936144
163.0,104,60.189844
188.5,112,60.265462
45.0,51,60.302567
365.5,174,60.406194
285.5,139,60.671402
157.0,108,60.736393
224.5,123,60.801833
-10.5,18,60.811399
71.5,60,60.841657
161.5,100,60.892438
157.5,121,60.957909
-6.0,30,60.972941
787.0,428,61.196232
254.5,133,61.26376
44.0,50,61.289441
674.5,308,61.465999
585.5,309,63.086322
215.0,141,63.158616
289.5,163,63.243486
72.0,58,63.273175
173.0,94,63.33302
-1.0,30,63.349182
21.5,30,63.364776
228.0,134,63.433711
316.5,190,63.534646
-66.5,12,63.540739
632.5,331,63.716672
208.5,137,63.78683
192.5,111,63.843477
804.5,428,65.05824
577.5,331,65.253002
89.0,70,65.289236
389.5,173,65.377359
-10.0,21,65.387925
56.5,45,65.410616
510.0,281,65.550953
251.0,152,65.627857
187.0,103,65.682667
415.5,249,65.809927
242.0,158,65.891504
521.5,290,66.040068
495.0,271,67.181738
221.0,122,67.250452
735.0,371,67.447301
609.0,305,67.605625
387.0,198,67.703501
334.0,175,67.792856
267.5,161,67.873175
306.0,137,67.943318
474.5,278,68.089093
309.0,160,69.468468
-7.5,26,69.489522
710.0,381,69.810589
-16.5,12,69.821123
185.0,91,69.907822
274.0,145,69.994484
7.0,23,70.009
194.0,110,70.068851
332.0,163,70.157842
421.0,242,70.312671
-32.0,19,70.323193
260.5,184,70.433797
343.5,192,70.544931
393.5,207,70.672734
338.5,212,71.867041
263.0,124,71.933669
495.5,269,72.087412
-15.0,16,72.096935
387.5,196,72.198668
18.5,32,72.214686
1051.0,517,72.479851
-2.5,26,72.493915
93.0,59,72.523612
268.0,164,72.608468
394.0,220,72.723678
399.0,190,72.8245
209.5,133,72.893556
61.5,50,72.918661
174.5,98,74.043521
395.0,221,74.202118
345.0,171,74.307315
26.5,40,74.328334
359.0,165,74.416149
300.0,191,74.517091
610.5,289,74.666642
-11.5,17,74.676212
442.5,231,74.795673
188.0,129,74.865425
515.5,264,75.008043
851.5,470,76.34653
328.0,189,76.469274
216.0,142,76.542778
246.5,120,76.604781
414.5,223,76.72769
178.5,107,76.786308
110.5,79,76.830384
-2.5,26,76.845429
304.0,180,76.939878
348.0,199,77.042386
165.0,111,77.09972
528.5,252,77.228659
111.5,80,77.278589
139.0,80,77.332266
155.0,121,78.738195
137.5,101,78.807406
238.5,117,78.879497
131.0,62,78.91368
63.0,49,78.949372
258.0,139,79.024059
779.0,355,79.20802
255.0,131,79.275066
185.5,114,79.332816
353.0,184,79.427138
370.0,211,79.537544
441.5,245,79.665718
181.0,132,79.733682
53.5,37,79.752231
220.5,144,80.822181
440.5,204,80.934823
305.5,164,81.032095
752.5,386,81.226589
204.5,118,81.286224
214.5,113,81.346384
489.0,280,81.487628
166.5,85,81.530915
183.0,109,81.584426
240.5,144,81.655373
213.0,129,81.719316
406.0,232,81.834206
161.5,105,82.917456
339.0,195,83.026647
317.0,168,83.113868
395.5,219,83.226077
165.0,86,83.270841
237.0,113,83.327929
447.0,243,83.450974
441.5,250,83.583994
133.0,79,83.622783
336.0,202,83.727375
503.0,294,83.874847
364.5,198,85.071066
372.5,201,85.200545
736.0,407,85.463362
134.0,120,85.526387
58.0,54,85.554916
368.5,207,85.681954
140.0,106,85.736332
69.0,55,85.764902
533.0,274,85.910699
344.0,210,86.03362
632.5,286,86.181655
-5.5,23,86.193227
482.5,246,87.320774
246.5,145,87.419573
190.5,109,87.474968
195.0,116,87.533335
546.5,310,87.69017
211.5,140,87.760074
66.0,52,87.786343
335.0,186,87.879467
217.5,111,87.936407
76.5,65,87.968721
122.0,88,88.014017
90.0,76,88.05323
281.0,182,88.141941
